"genus","n_species","n_entries","taxon_id","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_info_15","phylo_info_16","phylo_info_17","phylo_lineage"
"Euwallacea",1,1,1736056,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Coleoptera","Polyphaga",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Coleoptera; Polyphaga"
"Folsomia",1,1,158441,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Collembola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Collembola"
"Formica",1,1,72781,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
"Galleria",1,1,7137,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Gavia",1,1,37040,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Archelosauria","Archosauria","Dinosauria","Saurischia","Theropoda","Coelurosauria","Aves","Neognathae","Neoaves","Aequornithes",NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Aequornithes"
"Haemaphysalis",1,1,44386,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Ixodidae",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Acari; Parasitiformes; Ixodida; Ixodoidea; Ixodidae"
"Helicoverpa",1,1,7113,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Heliothis",1,1,7102,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Hylaeus",1,1,313075,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita","Aculeata","Apoidea","Anthophila","Colletidae","Hylaeinae","Hylaeus","Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita; Aculeata; Apoidea; Anthophila; Colletidae; Hylaeinae; Hylaeus"
"Hyposmocoma",1,1,1477025,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata","Ditrysia","Gelechioidea","Cosmopterigidae","Cosmopteriginae",NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Gelechioidea; Cosmopterigidae; Cosmopteriginae"
"Lamellibrachia",1,1,104711,"Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Annelida","Polychaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Annelida; Polychaeta"
"Leptidea",1,1,189913,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Mactra",1,1,2302425,"Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia",NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Heteroconchia; Euheterodonta; Imparidentia"
"Manduca",1,1,7130,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Maniola",1,1,191418,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata","Ditrysia","Papilionoidea","Nymphalidae","Satyrinae","Satyrini",NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini"
"Melitaea",1,1,113334,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Metopolophium",1,1,44670,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Sternorrhyncha",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha"
"Mizuhopecten",1,1,6573,"Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Mollusca","Bivalvia","Autobranchia","Pteriomorphia","Pectinida","Pectinoidea","Pectinidae",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Pteriomorphia; Pectinida; Pectinoidea; Pectinidae"
"Monomorium",1,1,307658,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
